"Name"	"Group"	"Flower_eDNA"	"Bee_Bimpatiens_hv3_1"	"Bee_Bimpatiens_hv4_1"	"Bee_impatiens_hv4_2"	"Bee_Amellifera_hv13_1"	"Bee_Amellifera_hv13_2"	"Bee_Amellifera_hv15_1"	"Bee_Amellifera_wild_1"
"Staphylococcus"	"Bacteria"	0	0	4	0	0	0	0	0
"Stenotrophomonas"	"Bacteria"	0	0	2220	7608	0	0	0	0
"Streptococcus"	"Bacteria"	0	93	69	6	0	10	459	7404
"Streptomyces"	"Bacteria"	0	0	0	0	0	70	0	0
"Stylonychia"	"Others"	17	8	0	0	0	33	380	12
"Subdoligranulum"	"Bacteria"	0	0	0	0	0	0	0	607
"Sugiyamaella"	"Fungi"	0	0	0	2	0	0	0	0
"Temnothorax"	"Arthropods"	0	88	169	74	0	13	0	0
"Trachymyrmex"	"Arthropods"	0	175	352	230	0	33	0	25
"Tribolium"	"Arthropods"	0	70	212	0	0	0	0	0
"Trichococcus"	"Bacteria"	4	0	0	0	0	0	0	0
"Trichoderma"	"Fungi"	0	0	0	0	0	0	0	1
"Trichuris"	"Others"	0	151	227	52	0	1037	116	1555
"Trifolium"	"Plants"	0	0	0	0	0	13112	0	0
"Varroa"	"Arthropods"	287	1832	2447	1295	0	0	27	1
"Weissella"	"Bacteria"	0	0	0	0	0	0	576	0
"Wickerhamiella"	"Fungi"	0	2094	0	12083	0	0	0	0
"Wohlfahrtiimonas"	"Bacteria"	0	0	0	0	0	0	0	53
"Xenorhabdus"	"Bacteria"	0	0	0	0	0	0	3	0
"Xylaria"	"Fungi"	0	0	0	1	0	0	0	0
