"Name"	"Group"	"Flower_eDNA"	"Bee_Bimpatiens_hv3_1"	"Bee_Bimpatiens_hv4_1"	"Bee_impatiens_hv4_2"	"Bee_Amellifera_hv13_1"	"Bee_Amellifera_hv13_2"	"Bee_Amellifera_hv15_1"	"Bee_Amellifera_wild_1"
"Ignatzschineria cameli"	"Bacteria"	0	0	0	0	0	0	0	252
"Ignelater luminosus"	"Arthropods"	0	0	0	0	0	0	9	0
"Ipomoea triloba"	"Plants"	0	0	0	0	0	69	0	0
"Kaistia granuli"	"Bacteria"	0	0	0	0	0	0	0	12
"Klebsiella aerogenes"	"Bacteria"	0	40	0	0	0	46	0	0
"Klebsiella pneumoniae"	"Bacteria"	0	128	0	0	0	868	0	1511
"Kosakonia radicincitans"	"Bacteria"	0	0	0	121	0	59	0	24
"Kuraishia capsulata"	"Fungi"	0	0	0	2	0	0	0	0
"Lacticaseibacillus paracasei"	"Bacteria"	0	0	0	7	0	3	22	0
"Lacticaseibacillus rhamnosus"	"Bacteria"	0	0	0	0	0	5	0	0
"Lactiplantibacillus plantarum"	"Bacteria"	0	0	0	0	0	3	0	6
"Lactobacillus amylovorus"	"Bacteria"	0	0	0	0	0	253	0	223
"Lactobacillus apis"	"Bacteria"	750	34345	0	0	376	739761	0	1340046
"Lactobacillus bombicola"	"Bacteria"	0	44953	0	26814	0	1505	0	2217
"Lactobacillus crispatus"	"Bacteria"	0	0	0	0	0	99	0	144
"Lactobacillus delbrueckii"	"Bacteria"	0	0	0	0	0	0	0	20
"Lactobacillus gasseri"	"Bacteria"	0	0	0	0	0	250	0	0
"Lactobacillus helsingborgensis"	"Bacteria"	0	0	0	0	0	270512	0	605543
"Lactobacillus helveticus"	"Bacteria"	0	75	0	0	0	0	0	259
"Lactobacillus iners"	"Bacteria"	0	0	0	0	0	12980	0	6790
"Lactobacillus kimbladii"	"Bacteria"	0	25400	0	0	0	276570	0	626160
"Lactobacillus kullabergensis"	"Bacteria"	0	22473	0	0	0	298874	0	485899
"Lactobacillus melliventris"	"Bacteria"	1092	2386	0	0	0	394853	0	1371044
"Lactobacillus panisapium"	"Bacteria"	0	0	0	0	0	1820	0	3511
"Lactobacillus sp. ESL0228"	"Bacteria"	0	0	1508	8060	168	0	0	0
"Lactobacillus sp. ESL0263"	"Bacteria"	0	0	0	0	0	12362	0	51614
"Lactobacillus sp. wkB10"	"Bacteria"	288	0	0	0	0	6276	0	14170
"Lactobacillus sp. wkB8"	"Bacteria"	476	0	0	0	0	0	0	0
"Lasius niger"	"Arthropods"	0	251	490	296	2	61	652	0
"Lentilactobacillus buchneri"	"Bacteria"	0	16	0	0	0	0	0	0
"Lentilactobacillus curieae"	"Bacteria"	0	6	0	14	0	0	83	5
"Lentilactobacillus parafarraginis"	"Bacteria"	0	8	0	0	0	0	0	0
"Leuconostoc carnosum"	"Bacteria"	0	0	0	0	0	0	582	0
"Leuconostoc citreum"	"Bacteria"	0	0	0	0	0	0	544	0
"Leuconostoc gelidum"	"Bacteria"	0	0	0	0	0	0	6949	0
"Leuconostoc lactis"	"Bacteria"	0	0	0	0	0	0	1332	0
"Leuconostoc mesenteroides"	"Bacteria"	0	0	0	0	0	0	883	0
"Leuconostoc pseudomesenteroides"	"Bacteria"	0	0	0	0	0	0	978	0
"Levilactobacillus brevis"	"Bacteria"	0	13	0	0	0	0	0	0
"Limosilactobacillus coleohominis"	"Bacteria"	0	0	0	0	0	0	0	479
"Limosilactobacillus fermentum"	"Bacteria"	0	0	0	0	0	0	0	127
"Limosilactobacillus reuteri"	"Bacteria"	0	0	0	0	0	0	0	262
"Limosilactobacillus vaginalis"	"Bacteria"	0	0	0	0	0	0	25	0
"Lipotes vexillifer"	"Others"	0	0	0	0	0	0	0	74
"Liquorilactobacillus ghanensis"	"Bacteria"	0	0	0	0	0	0	23	29
"Liquorilactobacillus nagelii"	"Bacteria"	0	0	0	0	0	0	0	13
"Liquorilactobacillus satsumensis"	"Bacteria"	0	0	0	0	0	0	21	0
"Listeria monocytogenes"	"Bacteria"	0	0	0	0	0	4	0	0
"Loigolactobacillus backii"	"Bacteria"	0	26	0	0	0	0	0	0
"Lotus japonicus"	"Plants"	0	0	0	0	0	13542	0	0
"Lucilia cuprina"	"Arthropods"	0	0	0	0	0	46	182	0
"Lupinus albus"	"Plants"	757	1384	0	794	0	5125	734	1979
"Lupinus angustifolius"	"Plants"	0	0	0	0	0	3597	0	0
"Macrococcus caseolyticus"	"Bacteria"	0	0	0	7	0	0	0	0
"Magnetospirillum gryphiswaldense"	"Bacteria"	0	0	0	0	0	28	0	0
"Malassezia restricta"	"Fungi"	0	0	0	0	0	0	4490	0
"Medicago truncatula"	"Plants"	0	0	0	0	0	3986	0	0
"Megachile rotundata"	"Arthropods"	0	171	94	0	28	317	2	267
"Megalopta genalis"	"Arthropods"	161	184	0	0	0	0	0	0
"Melipona quadrifasciata"	"Arthropods"	2195	2780	2812	2401	20	93	192	64
"Mesorhizobium delmotii"	"Bacteria"	0	0	0	0	0	0	0	93
"Mesorhizobium sediminum"	"Bacteria"	0	0	0	0	0	0	0	32
"Methylobacterium currus"	"Bacteria"	0	0	0	0	0	0	0	35
"Methylomicrobium alcaliphilum"	"Bacteria"	0	0	0	0	0	0	0	8
"Mikania micrantha"	"Plants"	0	0	0	3982	184	406	0	0
