txid	TxPath	TxGroup	KEGG_KO	ReadCount
-2	[no rank] unknown;[no rank] unknown;	Others	K02519	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02520	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02529	35
-2	[no rank] unknown;[no rank] unknown;	Others	K02563	5
-2	[no rank] unknown;[no rank] unknown;	Others	K02564	6
-2	[no rank] unknown;[no rank] unknown;	Others	K02575	12
-2	[no rank] unknown;[no rank] unknown;	Others	K02600	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02601	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02621	7
-2	[no rank] unknown;[no rank] unknown;	Others	K02622	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02647	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02679	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02745	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02755	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02756	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02757	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02759	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02761	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02768	22
-2	[no rank] unknown;[no rank] unknown;	Others	K02769	24
-2	[no rank] unknown;[no rank] unknown;	Others	K02770	22
-2	[no rank] unknown;[no rank] unknown;	Others	K02793	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02795	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02796	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02808	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02809	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02810	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02821	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02822	1
-2	[no rank] unknown;[no rank] unknown;	Others	K02834	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02835	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02836	8
-2	[no rank] unknown;[no rank] unknown;	Others	K02837	10
-2	[no rank] unknown;[no rank] unknown;	Others	K02863	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02864	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02874	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02876	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02878	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02879	6
-2	[no rank] unknown;[no rank] unknown;	Others	K02881	10
-2	[no rank] unknown;[no rank] unknown;	Others	K02884	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02886	6
-2	[no rank] unknown;[no rank] unknown;	Others	K02887	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02892	3
-2	[no rank] unknown;[no rank] unknown;	Others	K02895	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02899	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02902	1
-2	[no rank] unknown;[no rank] unknown;	Others	K02904	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02906	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02907	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02909	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02911	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02914	6
-2	[no rank] unknown;[no rank] unknown;	Others	K02916	7
-2	[no rank] unknown;[no rank] unknown;	Others	K02919	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02926	16
-2	[no rank] unknown;[no rank] unknown;	Others	K02931	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02935	1
-2	[no rank] unknown;[no rank] unknown;	Others	K02939	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02946	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02948	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02952	10
-2	[no rank] unknown;[no rank] unknown;	Others	K02954	14
-2	[no rank] unknown;[no rank] unknown;	Others	K02956	8
-2	[no rank] unknown;[no rank] unknown;	Others	K02961	3
-2	[no rank] unknown;[no rank] unknown;	Others	K02963	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02965	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02967	3
-2	[no rank] unknown;[no rank] unknown;	Others	K02986	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02988	12
-2	[no rank] unknown;[no rank] unknown;	Others	K02992	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03018	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03043	6
-2	[no rank] unknown;[no rank] unknown;	Others	K03046	24
-2	[no rank] unknown;[no rank] unknown;	Others	K03060	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03073	6
-2	[no rank] unknown;[no rank] unknown;	Others	K03075	1
-2	[no rank] unknown;[no rank] unknown;	Others	K03076	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03079	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03095	1
-2	[no rank] unknown;[no rank] unknown;	Others	K03100	4
-2	[no rank] unknown;[no rank] unknown;	Others	K03106	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03110	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03119	4
-2	[no rank] unknown;[no rank] unknown;	Others	K03124	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03168	6
-2	[no rank] unknown;[no rank] unknown;	Others	K03182	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03189	4
-2	[no rank] unknown;[no rank] unknown;	Others	K03206	4
-2	[no rank] unknown;[no rank] unknown;	Others	K03215	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03216	6
-2	[no rank] unknown;[no rank] unknown;	Others	K03223	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03254	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03272	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03281	4
-2	[no rank] unknown;[no rank] unknown;	Others	K03292	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03312	6
-2	[no rank] unknown;[no rank] unknown;	Others	K03315	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03320	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03322	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03349	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03366	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03402	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03453	4
-2	[no rank] unknown;[no rank] unknown;	Others	K03466	6
-2	[no rank] unknown;[no rank] unknown;	Others	K03469	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03470	4
-2	[no rank] unknown;[no rank] unknown;	Others	K03484	14
-2	[no rank] unknown;[no rank] unknown;	Others	K03485	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03496	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03498	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03500	4
-2	[no rank] unknown;[no rank] unknown;	Others	K03501	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03523	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03526	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03527	6
-2	[no rank] unknown;[no rank] unknown;	Others	K03528	4
-2	[no rank] unknown;[no rank] unknown;	Others	K03529	8
-2	[no rank] unknown;[no rank] unknown;	Others	K03536	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03544	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03550	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03553	12
-2	[no rank] unknown;[no rank] unknown;	Others	K03555	8
-2	[no rank] unknown;[no rank] unknown;	Others	K03562	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03564	4
-2	[no rank] unknown;[no rank] unknown;	Others	K03565	8
-2	[no rank] unknown;[no rank] unknown;	Others	K03569	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03578	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03586	1
-2	[no rank] unknown;[no rank] unknown;	Others	K03587	1
-2	[no rank] unknown;[no rank] unknown;	Others	K03588	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03596	4
-2	[no rank] unknown;[no rank] unknown;	Others	K03601	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03602	1
-2	[no rank] unknown;[no rank] unknown;	Others	K03624	6
-2	[no rank] unknown;[no rank] unknown;	Others	K03625	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03628	6
-2	[no rank] unknown;[no rank] unknown;	Others	K03631	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03632	8
-2	[no rank] unknown;[no rank] unknown;	Others	K03635	1
-2	[no rank] unknown;[no rank] unknown;	Others	K03640	1
-2	[no rank] unknown;[no rank] unknown;	Others	K03641	1
-2	[no rank] unknown;[no rank] unknown;	Others	K03647	1
-2	[no rank] unknown;[no rank] unknown;	Others	K03652	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03655	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03657	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03665	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03666	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03669	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03671	4
-2	[no rank] unknown;[no rank] unknown;	Others	K03686	5
-2	[no rank] unknown;[no rank] unknown;	Others	K03696	8
-2	[no rank] unknown;[no rank] unknown;	Others	K03697	4
-2	[no rank] unknown;[no rank] unknown;	Others	K03704	18
-2	[no rank] unknown;[no rank] unknown;	Others	K03710	8
-2	[no rank] unknown;[no rank] unknown;	Others	K03723	6
-2	[no rank] unknown;[no rank] unknown;	Others	K03752	1
-2	[no rank] unknown;[no rank] unknown;	Others	K03762	4
-2	[no rank] unknown;[no rank] unknown;	Others	K03763	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03772	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03773	2
-2	[no rank] unknown;[no rank] unknown;	Others	K03778	4
-2	[no rank] unknown;[no rank] unknown;	Others	K03781	4
-2	[no rank] unknown;[no rank] unknown;	Others	K03798	6
