"Name"	"Group"	"Bee_Amellifera_hv13_1"	"Bee_Amellifera_hv13_2"	"Bee_Amellifera_hv15_1"	"Bee_Amellifera_wild_1"	"Bee_Bimpatiens_hv3_1"	"Bee_Bimpatiens_hv4_1"	"Bee_Bimpatiens_hv4_2"	"Flower_eDNA"
"Mesorhizobium delmotii"	"Bacteria"	0	0	0	93	0	0	0	0
"Mesorhizobium sediminum"	"Bacteria"	0	0	0	32	0	0	0	0
"Methylobacterium currus"	"Bacteria"	0	0	0	35	0	0	0	0
"Methylomicrobium alcaliphilum"	"Bacteria"	0	0	0	8	0	0	0	0
"Mikania micrantha"	"Plants"	184	406	0	0	0	0	3982	0
"Moesziomyces antarcticus"	"Fungi"	0	0	0	0	0	0	4	0
"Monomorium pharaonis"	"Arthropods"	0	4	0	0	0	0	0	0
"Morganella morganii"	"Bacteria"	0	0	0	6593	0	0	0	0
"Mucuna pruriens"	"Plants"	0	4639	0	0	0	0	0	0
"Musca domestica"	"Arthropods"	0	0	58	0	0	0	0	0
"Mycobacterium kansasii"	"Bacteria"	0	144	0	0	0	0	0	0
"Myoviridae sp."	"Viruses"	198	21060	0	0	0	0	0	0
"Nasonia vitripennis"	"Arthropods"	0	10	0	21	0	0	0	0
"Naumannella halotolerans"	"Bacteria"	0	0	0	0	4	0	0	0
"Neisseria gonorrhoeae"	"Bacteria"	0	0	0	36	0	0	0	0
"Neisseria meningitidis"	"Bacteria"	0	0	0	8	0	0	0	0
"Neisseria polysaccharea"	"Bacteria"	0	0	0	25	0	0	0	0
"Nicotiana sylvestris"	"Plants"	0	0	174	0	0	0	0	0
"Nitrospirillum amazonense"	"Bacteria"	0	0	0	29	0	0	0	0
"Nomia melanderi"	"Arthropods"	38	57	0	0	197	0	167	0
"Nosema apis"	"Fungi"	0	606	0	869	0	0	0	0
"Nosema bombycis"	"Fungi"	0	2	0	2	0	0	0	0
"Nosema ceranae"	"Fungi"	1934	217265	0	305166	7589	1390	0	1596
"Nylanderia fulva"	"Arthropods"	0	23	0	15	0	0	0	0
"Oblitimonas alkaliphila"	"Bacteria"	0	0	0	64	0	0	0	0
"Olsenella umbonata"	"Bacteria"	0	282	0	0	0	0	0	0
"Ooceraea biroi"	"Arthropods"	0	0	0	0	163	225	0	0
"Orbus hercynius"	"Bacteria"	0	0	0	751	0	958	0	0
"Orthopteran scindoambidensovirus 1"	"Viruses"	0	0	84644	0	0	0	0	272
"Osmia lignaria"	"Arthropods"	0	219	2900	0	0	0	0	0
"Pantoea ananatis"	"Bacteria"	0	47	0	0	0	0	0	0
"Parascardovia denticolens"	"Bacteria"	0	907	0	0	92	85	154	0
"Patellaria atrata"	"Fungi"	0	0	0	0	0	0	40	0
"Paucimonas lemoignei"	"Bacteria"	0	0	0	12	0	0	0	0
"Pectobacterium carotovorum"	"Bacteria"	0	0	0	30	0	0	0	0
"Pectobacterium versatile"	"Bacteria"	0	0	0	22	0	0	0	0
"Pediococcus acidilactici"	"Bacteria"	0	0	0	36	0	0	0	0
"Pediococcus damnosus"	"Bacteria"	0	0	0	0	29	0	0	0
"Phenylobacterium zucineum"	"Bacteria"	0	0	0	47	0	0	0	0
"Photobacterium alginatilyticum"	"Bacteria"	0	0	0	15	0	0	0	0
"Plasmodium ovale"	"Others"	0	0	3162	0	0	0	0	0
"Polistes canadensis"	"Arthropods"	0	0	2	0	23	0	0	117
"Populus euphratica"	"Plants"	0	105	0	0	0	0	0	0
"Proteus mirabilis"	"Bacteria"	0	55	0	163	0	0	0	0
"Proteus vulgaris"	"Bacteria"	0	295	0	0	105	0	0	0
"Providencia rettgeri"	"Bacteria"	0	2055	0	4103	0	0	0	0
"Pseudochrobactrum asaccharolyticum"	"Bacteria"	0	0	0	389	0	0	0	0
"Pseudomonas aeruginosa"	"Bacteria"	0	75	0	39	0	0	0	0
"Pseudomonas amygdali"	"Bacteria"	0	0	0	33	0	0	0	0
"Pseudomonas caeni"	"Bacteria"	0	0	0	146	0	0	0	0
"Pseudomonas chloritidismutans"	"Bacteria"	0	0	0	53	0	0	0	0
"Pseudomonas chlororaphis"	"Bacteria"	0	0	0	65	0	0	0	0
"Pseudomonas fluorescens"	"Bacteria"	0	0	0	36	0	0	0	0
"Pseudomonas mendocina"	"Bacteria"	0	0	0	43	0	0	0	0
"Pseudomonas nitroreducens"	"Bacteria"	0	0	0	23	0	0	0	0
"Pseudomonas putida"	"Bacteria"	0	0	0	76	0	0	0	0
"Pseudomonas syringae"	"Bacteria"	0	0	0	34	0	0	0	0
"Pseudomonas veronii"	"Bacteria"	0	0	0	29	0	0	0	0
"Pseudoscardovia suis"	"Bacteria"	0	332	0	0	0	0	0	0
"Pyrus x bretschneideri"	"Plants"	0	380	0	0	0	0	0	0
"Raphanus sativus"	"Plants"	0	208	0	1292	0	0	0	0
"Rathayibacter toxicus"	"Bacteria"	0	10	0	0	0	0	0	0
"Rhagoletis zephyria"	"Arthropods"	0	147	15579	0	0	0	0	12
"Rhizophagus clarus"	"Fungi"	0	4	4	2	0	0	0	0
"Rhizophagus irregularis"	"Fungi"	0	0	4	0	0	0	0	0
"Rouxiella chamberiensis"	"Bacteria"	0	0	0	0	0	105	0	0
"Ruminococcus bromii"	"Bacteria"	0	15	0	0	0	0	0	0
"Saccharibacter floricola"	"Bacteria"	0	0	0	62	0	0	0	0
"Saezia sanguinis"	"Bacteria"	0	0	0	26	0	0	0	0
"Salmonella enterica"	"Bacteria"	0	30	0	12	52	0	0	0
"Saprochaete ingens"	"Fungi"	0	0	0	0	0	0	234	0
"Schleiferilactobacillus perolens"	"Bacteria"	0	0	0	68	0	0	0	0
"Secundilactobacillus silagei"	"Bacteria"	0	91	0	0	0	0	0	0
"Serratia liquefaciens"	"Bacteria"	0	0	0	27	0	0	0	0
"Serratia plymuthica"	"Bacteria"	0	61	0	29	0	0	0	0
"Sinorhizobium fredii"	"Bacteria"	0	75	0	36	0	0	0	0
"Siphoviridae sp."	"Viruses"	146	19578	0	16162	0	0	0	626
"Snodgrassella alvi"	"Bacteria"	874	727391	2279	710679	40128	12058	18961	2358
"Snodgrassella sp. ESL0324"	"Bacteria"	0	0	0	12744	0	0	0	0
"Solanum lycopersicum"	"Plants"	0	471	0	0	0	0	0	0
"Solenopsis invicta"	"Arthropods"	0	0	0	0	63	76	72	0
"Sporolactobacillus inulinus"	"Bacteria"	0	0	0	24	0	0	0	0
"Staphylococcus aureus"	"Bacteria"	0	0	0	0	0	4	0	0
"Streptococcus agalactiae"	"Bacteria"	0	10	23	0	3	0	0	0
"Streptococcus pneumoniae"	"Bacteria"	0	0	436	143	90	69	0	0
"Streptococcus suis"	"Bacteria"	0	0	0	7260	0	0	0	0
"Streptococcus thermophilus"	"Bacteria"	0	0	0	0	0	0	6	0
"Streptococcus urinalis"	"Bacteria"	0	0	0	1	0	0	0	0
"Streptomyces globisporus"	"Bacteria"	0	70	0	0	0	0	0	0
"Stylonychia lemnae"	"Others"	0	33	380	12	8	0	0	17
"Subdoligranulum variabile"	"Bacteria"	0	0	0	607	0	0	0	0
"Sugiyamaella lignohabitans"	"Fungi"	0	0	0	0	0	0	2	0
"Temnothorax longispinosus"	"Arthropods"	0	13	0	0	88	169	74	0
"Trachymyrmex septentrionalis"	"Arthropods"	0	33	0	25	0	129	89	0
"Trachymyrmex zeteki"	"Arthropods"	0	0	0	0	175	223	141	0
"Tribolium castaneum"	"Arthropods"	0	0	0	0	70	212	0	0
"Trichococcus palustris"	"Bacteria"	0	0	0	0	0	0	0	4
"Trichoderma atroviride"	"Fungi"	0	0	0	1	0	0	0	0
"Trichuris trichiura"	"Others"	0	1037	116	1555	151	227	52	0
"Trifolium subterraneum"	"Plants"	0	4138	0	0	0	0	0	0
