# phylum
Name	Group	Bee_Amellifera_hv13_2	Bee_Amellifera_hv15_1	Bee_Amellifera_wild_1	Bee_Bimpatiens_hv3_1	Bee_Bimpatiens_hv4_1	Bee_Bimpatiens_hv4_2	Flower_eDNA
Pediococcus	Bacteria	0	0	36	29	0	0	0
Pefuambidensovirus	Viruses	0	5284	0	0	0	0	0
Penicillium	Fungi	0	0	0	2056	0	0	0
Phenylobacterium	Bacteria	0	0	47	0	0	0	0
Photobacterium	Bacteria	0	0	15	0	0	0	0
Plasmodium	Others	0	3162	0	0	0	0	0
Polistes	Arthropods	0	2	0	23	0	0	117
Populus	Plants	105	0	0	0	0	0	0
Proteus	Bacteria	350	0	163	105	0	0	0
Providencia	Bacteria	2055	0	4103	0	0	0	0
Pseudochrobactrum	Bacteria	0	0	389	0	0	0	0
Pseudomonas	Bacteria	75	0	83561	2718	0	0	0
Pseudoscardovia	Bacteria	332	0	0	0	0	0	0
Pyrus	Plants	380	0	0	0	0	0	0
Raphanus	Plants	208	0	1292	0	0	0	0
Rathayibacter	Bacteria	10	0	0	0	0	0	0
Rhagoletis	Arthropods	147	15579	0	0	0	0	12
Rhizophagus	Fungi	4	8	2	0	0	0	0
Rouxiella	Bacteria	0	0	0	0	105	0	0
Ruminococcus	Bacteria	15	0	0	0	0	0	0
Saccharibacter	Bacteria	0	0	62	0	0	0	0
Saezia	Bacteria	0	0	26	0	0	0	0
Salmonella	Bacteria	30	0	12	52	0	0	0
Saprochaete	Fungi	0	0	0	0	0	234	0
Schleiferilactobacillus	Bacteria	0	0	68	0	0	0	0
Scindoambidensovirus	Viruses	0	278980	0	0	0	0	3870
Secundilactobacillus	Bacteria	91	0	0	0	0	0	0
Serratia	Bacteria	61	0	56	0	0	0	0
Sinorhizobium	Bacteria	75	0	36	0	0	0	0
Snodgrassella	Bacteria	848983	2279	788551	84936	39146	90677	10422
Solanum	Plants	471	0	0	0	0	0	0
Solenopsis	Arthropods	0	0	0	63	76	72	0
Sporolactobacillus	Bacteria	0	0	24	0	0	0	0
Staphylococcus	Bacteria	0	0	0	0	4	0	0
Stenotrophomonas	Bacteria	0	0	0	0	2220	7608	0
Streptococcus	Bacteria	10	459	7404	93	69	6	0
Streptomyces	Bacteria	70	0	0	0	0	0	0
Stylonychia	Others	33	380	12	8	0	0	17
Subdoligranulum	Bacteria	0	0	607	0	0	0	0
Sugiyamaella	Fungi	0	0	0	0	0	2	0
Temnothorax	Arthropods	13	0	0	88	169	74	0
Trachymyrmex	Arthropods	33	0	25	175	352	230	0
Tribolium	Arthropods	0	0	0	70	212	0	0
Trichococcus	Bacteria	0	0	0	0	0	0	4
Trichoderma	Fungi	0	0	1	0	0	0	0
Trichuris	Others	1037	116	1555	151	227	52	0
Trifolium	Plants	13112	0	0	0	0	0	0
Varroa	Arthropods	0	27	1	1832	2447	1295	287
Weissella	Bacteria	0	576	0	0	0	0	0
Wickerhamiella	Fungi	0	0	0	2094	0	12083	0
Wohlfahrtiimonas	Bacteria	0	0	53	0	0	0	0
Xenorhabdus	Bacteria	0	3	0	0	0	0	0
Xylaria	Fungi	0	0	0	0	0	1	0

# species
Name	Group	Bee_Amellifera_hv13_2	Bee_Amellifera_hv15_1	Bee_Amellifera_wild_1	Bee_Bimpatiens_hv3_1	Bee_Bimpatiens_hv4_1	Bee_Bimpatiens_hv4_2	Flower_eDNA
Abrus precatorius	Plants	9847	0	0	0	0	0	0
Abscondita terminalis	Arthropods	332	0	49	0	0	0	0
Absicoccus porci	Bacteria	0	0	0	12	0	0	0
Acetilactobacillus jinshanensis	Bacteria	0	1	0	0	0	0	0
Acidothermus cellulolyticus	Bacteria	0	0	9	0	0	0	0
Acinetobacter baumannii	Bacteria	1199	7582	279	14958	14597	13556	54
Acinetobacter bereziniae	Bacteria	0	107	0	0	0	0	0
Actinoplanes friuliensis	Bacteria	0	0	189	0	0	0	0
Actinotalea ferrariae	Bacteria	0	72	0	0	0	0	0
Aeromonas hydrophila	Bacteria	0	0	7423	0	0	0	0
Agrilactobacillus composti	Bacteria	0	0	0	7	0	0	0
Agrilactobacillus yilanensis	Bacteria	0	0	0	0	0	5	0
Agrobacterium fabrum	Bacteria	0	0	66	0	0	0	0
Agrobacterium tumefaciens	Bacteria	0	0	80	0	0	0	0
Ambidensovirus sp.	Viruses	0	116698	0	0	0	0	2624
Anaerosacchriphilus polymeriproducens	Bacteria	0	0	2	0	0	0	0
Ancylobacter rudongensis	Bacteria	0	0	17	0	0	0	0
Angiostrongylus costaricensis	Others	29	0	0	0	0	0	0
Aphanomyces astaci	Others	0	2	0	0	0	0	0
Apilactobacillus kunkeei	Bacteria	0	10479	0	0	0	0	0
Apilactobacillus micheneri	Bacteria	0	2276	0	0	0	0	0
Apilactobacillus ozensis	Bacteria	0	738	0	0	0	0	0
Apilactobacillus quenuiae	Bacteria	0	1202	0	0	0	0	0
