KEGG_KO	Bee_Amellifera_hv13_2	Bee_Amellifera_hv15_1	Bee_Amellifera_wild_1	Bee_Bimpatiens_hv3_1	Bee_Bimpatiens_hv4_1	Bee_Bimpatiens_hv4_2	Flower_eDNA
K05858	2	22	1	0	0	0	1
K05859	6	7	0	0	0	0	0
K05860	2	0	6	0	0	0	0
K05862	0	4	0	0	0	0	0
K05863	14	2	8	30	2	87	2
K05864	0	0	0	12	8	16	0
K05868	0	2	1	0	0	0	0
K05870	0	0	0	1	0	0	0
K05871	1	2	4	0	0	2	0
K05873	0	2	0	0	0	0	0
K05874	7	41	0	27	54	70	0
K05875	11	59	0	36	73	90	0
K05876	0	24	0	32	49	72	0
K05877	3	24	0	7	8	15	0
K05878	4242	137	7529	364	66	332	116
K05879	2422	77	4690	189	42	204	56
K05880	12	0	0	0	0	0	0
K05881	982	0	1393	73	24	75	28
K05882	2134	198	5170	1532	768	1683	50
K05886	40	0	223	13	22	10	0
K05887	1069	13	1508	264	131	201	43
K05889	0	5	0	0	0	0	0
K05894	24	6	9	0	2	0	2
K05895	934	24	1736	52	8	9	2
K05896	4435	941	9173	870	293	765	76
K05898	73	12	25	0	0	4	0
K05906	3	0	2	0	0	0	0
K05907	2	0	10	4	2	0	0
K05909	11	2	2	0	0	3	0
K05910	2496	3655	5422	173	64	221	97
K05913	8	11	0	0	0	0	0
K05916	504	43	487	97	31	197	16
K05917	6	0	0	16	0	102	0
K05919	0	0	4	0	0	4	0
K05921	48	18	114	8	0	2	0
K05922	12	32	0	0	0	0	0
K05925	2	22	0	3	3	43	0
K05927	6	0	0	0	0	0	0
K05928	6	0	0	0	0	0	0
K05933	22	0	4	0	2	2	2
K05934	1700	4	2277	65	10	6	11
K05936	1121	59	2188	65	16	8	10
K05939	3599	46	7851	485	226	408	99
K05941	4	0	8	0	0	2	0
K05946	2041	179	3851	327	47	109	108
K05948	0	10	0	0	0	0	0
K05951	4	0	0	0	0	0	0
K05953	3	18	0	0	1	0	0
K05954	4	12	0	21	0	30	0
K05955	0	1	0	0	0	7	0
K05956	90	8	150	4	6	65	0
K05962	16	0	8	0	0	0	0
K05964	776	6	1530	319	124	147	13
K05966	1809	982	3682	690	292	381	78
K05970	391	14	1038	65	20	29	9
K05973	14	40	0	0	10	8	0
K05982	921	10	2282	346	204	223	28
K05984	235	0	1857	59	21	15	5
K05985	2359	1137	4505	238	40	192	85
K05988	0	24	0	4	0	0	0
K05989	12399	250	26251	1200	395	3052	264
K05991	0	90	4	4	2	0	0
K05994	1	0	0	12	1	40	0
K05995	2280	24	4465	342	90	229	28
K05997	376	0	1045	194	58	78	7
K06001	48	88	62	25	14	44	2
K06002	0	5	0	0	0	0	0
K06004	0	0	0	4	0	0	0
K06005	0	0	1	30	1	77	0
K06006	36	0	69	0	18	4	0
K06009	0	0	0	27	1	65	0
K06013	859	16	1085	107	28	72	17
K06015	3	6	21	2	0	12	0
K06016	705	164	915	36	22	13	16
K06018	0	0	0	12	0	0	0
K06019	18	0	38	0	0	0	0
K06020	3166	44	7111	881	432	650	69
K06021	14	2	4	0	0	0	0
K06022	4	6	0	0	0	0	0
K06023	3451	2463	5989	356	121	284	70
K06024	3736	907	7282	745	244	832	51
K06027	108	22	112	14	10	50	0
K06030	0	2	0	19	0	38	0
K06035	0	0	0	0	4	0	0
K06041	2959	90	5480	290	56	130	29
K06042	877	38	1958	42	4	24	10
K06044	14	49	15	0	20	26	0
K06045	652	4	603	17	13	0	6
K06046	0	0	0	0	0	0	1
K06048	0	83	6	10	2	12	0
K06051	0	12	0	0	0	0	0
